[2026-06-16T20:22:34.131+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8069, completion-tokens, 169, total-tokens, 8238, cost-ms, 5583, requestId, 02178161254993858495fca7b4b2c862697b10162207496dfa649, temperature, 0
[2026-06-16T20:22:38.494+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8327, completion-tokens, 114, total-tokens, 8441, cost-ms, 3605, requestId, 02178161255606458495fca7b4b2c862697b10162207496a88d9a, temperature, 0
[2026-06-16T20:22:44.180+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8545, completion-tokens, 106, total-tokens, 8651, cost-ms, 4199, requestId, 02178161256116258495fca7b4b2c862697b10162207496403fe9, temperature, 0
[2026-06-16T20:24:09.064+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8069, completion-tokens, 171, total-tokens, 8240, cost-ms, 6526, requestId, 021781612644062b85dd9573420c9c9dfb215f9da646d06befba3, temperature, 0
[2026-06-16T20:24:14.365+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8330, completion-tokens, 155, total-tokens, 8485, cost-ms, 4537, requestId, 021781612651011b85dd9573420c9c9dfb215f9da646d06d0fff5, temperature, 0
[2026-06-16T20:24:18.585+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8596, completion-tokens, 73, total-tokens, 8669, cost-ms, 2779, requestId, 021781612656990b85dd9573420c9c9dfb215f9da646d06a9e617, temperature, 0
[2026-06-16T20:34:20.002+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 66, total-tokens, 1465, cost-ms, 2746, requestId, 021781613258696c2ac42b5b86809233f1159b66476f3237381ef, temperature, 0
[2026-06-16T20:34:22.748+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 68, total-tokens, 1467, cost-ms, 2602, requestId, 021781613261334c2ac42b5b86809233f1159b66476f323343878, temperature, 0
[2026-06-16T20:51:01.792+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 67, total-tokens, 1466, cost-ms, 12604, requestId, 02178161425777053e3b5a246ac6f20ec70e89c2b434acc524fb6, temperature, 0
[2026-06-16T20:51:05.270+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 111, total-tokens, 1510, cost-ms, 3333, requestId, 02178161426317453e3b5a246ac6f20ec70e89c2b434acc406a5b, temperature, 0
[2026-06-16T20:51:08.550+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 77, total-tokens, 1476, cost-ms, 3150, requestId, 02178161426659153e3b5a246ac6f20ec70e89c2b434acc2364b3, temperature, 0
[2026-06-16T20:53:59.297+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 61, total-tokens, 1460, cost-ms, 4316, requestId, 0217816144363009af49751528187ac6ba2ea329b701437fa8da7, temperature, 0
[2026-06-16T20:54:03.608+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 76, total-tokens, 1475, cost-ms, 4176, requestId, 0217816144406749af49751528187ac6ba2ea329b701437dac3ff, temperature, 0
[2026-06-16T20:54:07.833+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 73, total-tokens, 1472, cost-ms, 4072, requestId, 0217816144449639af49751528187ac6ba2ea329b701437328cde, temperature, 0
[2026-06-16T20:54:12.253+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 73, total-tokens, 1472, cost-ms, 4283, requestId, 0217816144491639af49751528187ac6ba2ea329b70143758afd1, temperature, 0
